Symbol,Company,Market,Industry,Sector,MySector,ESector,SET50,SET100
DCON,DCON PRODUCTS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ZNOT,CONMAT,,
DCON-W1,DCON PRODUCTS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ZNOT,CONMAT,,
DCON-W2,DCON PRODUCTS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ZNOT,CONMAT,,
DCORP,DEMETER CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DCORP-W1,DEMETER CORPORATION PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DDD,DO DAY DREAM PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,ZNOT,PERSON,,
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,Electronic,ETRON,1,1
DEMCO,DEMCO PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Energy,ENERG,,
DEMCO-W4,DEMCO PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Energy,ENERG,,
DEMCO-W5,DEMCO PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Energy,ENERG,,
DEMCO-W6,DEMCO PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,Energy,ENERG,,
DIF,DIGITAL TELECOMMUNICATIONS INFRASTRUCTURE FUND,SET,Technology,Information & Communication Technology,ICT,ICT,,
DIGI,DIGITAL TECH PLANET PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
DIGI-W1,DIGITAL TECH PLANET PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
DIGI-W2,DIGITAL TECH PLANET PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,ZNOT,FASHION,,
DIMET,DIMET (SIAM) PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DIMET-W1,DIMET (SIAM) PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DIMET-W2,DIMET (SIAM) PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DNA,DNA 2002 PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DNA-W1,DNA 2002 PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DOD,DOD BIOTECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DOD-W1,DOD BIOTECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
DOHOME,DOHOME PUBLIC COMPANY LIMITED,SET,Services,Commerce,Commerce,COMM,,
DRACO,DRACO PCB PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
DREIT,DUSIT THANI FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
DRT,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ZNOT,CONMAT,,
DSGT,DSG INTERNATIONAL (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,Personal,PERSON,,
DTAC,TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,ICT,ICT,1,1
DTC,DUSIT THANI PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
DTCI,D.T.C. INDUSTRIES PUBLIC COMPANY LIMITED,SET,Consumer Products,Home & Office Products,ZNOT,HOME,,
DTCPF,DUSIT THANI FREEHOLD & LEASEHOLD PROPERTY FUND,SET,Property & Construction,Property Fund,ZNOT,PFUND,,
E,EVOLUTION CAPITAL PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Leasing,ZNOT,,
EA,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Electricity,ZNOT,1,1
EARTH,ENERGY EARTH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
EARTH-W3,ENERGY EARTH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
EARTH-W4,ENERGY EARTH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
EASON,EASON PAINT PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
EASON-W2,EASON PAINT PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,Automotive,AUTO,,
EASTW,EASTERN WATER RESOURCES DEVELOPMENT AND MANAGEMENT PCL.,SET,Resources,Energy & Utilities,ZNOT,ENERG,,
ECF,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ECF-W1,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ECF-W2,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ECF-W3,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,ZNOT,ZNOT,,
ECL,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
ECL-W1,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
ECL-W2,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
ECL-W3,EASTERN COMMERCIAL LEASING PUBLIC COMPANY LIMITED,SET,Financials,Finance and Securities,Leasing,FIN,,
EE,ETERNAL ENERGY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,Electricity,AGRI,,
EFORL,E FOR L AIM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Construction,ZNOT,,
EFORL-W2,E FOR L AIM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Construction,ZNOT,,
EFORL-W3,E FOR L AIM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Construction,ZNOT,,
EFORL-W4,E FOR L AIM PUBLIC COMPANY LIMITED,mai,-,Medium-Sized Enterprise,Construction,ZNOT,,
EGATIF,BANPU PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Energy,ENERG,,
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Electricity,ENERG,1,1
EIC,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
EIC-W1,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
EIC-W2,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
EIC-W3,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
EIC-W4,ELECTRONICS INDUSTRY PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,ZNOT,ETRON,,
EKH,EKACHAI MEDICAL CARE PUBLIC COMPANY LIMITED,SET,Services,Health Care Services,Health Care,HELTH,,
EMC,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,CONS,CONS,,
EMC-W3,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EMC-W4,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EMC-W5,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EMC-W6,EMC PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,ZNOT,PROP,,
EPCO,EASTERN PRINTING PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
EPCO-W1,EASTERN PRINTING PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
EPCO-W2,EASTERN PRINTING PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
EPCO-W3,EASTERN PRINTING PUBLIC COMPANY LIMITED,SET,Services,Media & Publishing,ZNOT,MEDIA,,
EPG,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,ConMat,CONMAT,,1
ERW,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,1
ERWPF,ERAWAN HOTEL GROWTH PROPERTY FUND,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
ERW-W2,THE ERAWAN GROUP PUBLIC COMPANY LIMITED,SET,Services,Tourism & Leisure,Tourism,TOURISM,,
ESSO,ESSO (THAILAND) PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,Refinery,ENERG,,1
